window,mape,mae,rmse,mse,directional_accuracy,precision_up,recall_up,f1_up
7,1.0495871013444715,0.010471998186951072,0.014846542503617761,0.00022041982431172873,0.4921090387374462,,,0.5839059674502712
10,1.059171491893882,0.01055901550537829,0.014980204818162849,0.0002244065363941094,0.4857079792517382,,,0.6379738968303293
15,1.0470155981344345,0.01044927041452731,0.0148226100505268,0.00021970976870997808,0.504138616046794,,,0.5284919718753279
30,1.0548720528039492,0.010519800430532598,0.01489091499554793,0.00022173934940463423,0.4897914137512416,,,0.6391382405745063
