epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.009251579642295837,,,,,
0,99,,0.009037025272846222,,,,,
0,149,,0.007307133171707392,,,,,
0,199,,0.006787910591810942,,,,,
0,219,,,0.012806751765310764,433.6707458496094,0.017364202067255974,1.851055383682251,0.007215488702058792
0,219,0.008024267852306366,,,,,,
1,249,,0.01040725503116846,,,,,
1,299,,0.00811724178493023,,,,,
1,349,,0.006809839978814125,,,,,
1,399,,0.007753454148769379,,,,,
1,439,,,0.012798241339623928,776.4594116210938,0.01733078621327877,1.703782320022583,0.007159620989114046
1,439,0.0076617104932665825,,,,,,
2,449,,0.007101360708475113,,,,,
2,499,,0.006348163355141878,,,,,
2,549,,0.008600967936217785,,,,,
2,599,,0.008216292597353458,,,,,
2,649,,0.007209205999970436,,,,,
2,659,,,0.012768418528139591,437.8553466796875,0.017324348911643028,1.8144426345825195,0.007178352680057287
2,659,0.007612538989633322,,,,,,
3,699,,0.006217350717633963,,,,,
3,749,,0.008096951059997082,,,,,
3,799,,0.0065927328541874886,,,,,
3,849,,0.006781593430787325,,,,,
3,879,,,0.012758268974721432,419.82196044921875,0.017315348610281944,1.793095588684082,0.007142528425902128
3,879,0.0075856950134038925,,,,,,
4,899,,0.008712632581591606,,,,,
4,949,,0.006820295006036758,,,,,
4,999,,0.0074651725590229034,,,,,
4,1049,,0.006597842089831829,,,,,
4,1099,,0.00786033645272255,,,,,
4,1099,,,0.012756718322634697,631.8778686523438,0.0173200573772192,1.7618184089660645,0.007136999163776636
4,1099,0.007562088780105114,,,,,,
5,1149,,0.0076939561404287815,,,,,
5,1199,,0.007143100723624229,,,,,
5,1249,,0.007437158841639757,,,,,
5,1299,,0.007736544124782085,,,,,
5,1319,,,0.012771384790539742,774.806640625,0.01734631508588791,1.70912766456604,0.007141164969652891
5,1319,0.007521952968090773,,,,,,
6,1349,,0.007606999948620796,,,,,
6,1399,,0.008060695603489876,,,,,
6,1449,,0.008120803162455559,,,,,
6,1499,,0.006776515860110521,,,,,
6,1539,,,0.012781604193150997,731.30615234375,0.01734517700970173,1.6806037425994873,0.00719112902879715
6,1539,0.00747037073597312,,,,,,
7,1549,,0.0063338503241539,,,,,
7,1599,,0.008146924898028374,,,,,
7,1649,,0.007621940225362778,,,,,
7,1699,,0.006830069236457348,,,,,
7,1749,,0.008091451600193977,,,,,
7,1759,,,0.012957700528204441,1954.6392822265625,0.01752791553735733,1.624266505241394,0.007223775144666433
7,1759,0.007416373584419489,,,,,,
8,1799,,0.007663569413125515,,,,,
8,1849,,0.008785136044025421,,,,,
8,1899,,0.007229039911180735,,,,,
8,1949,,0.006655232049524784,,,,,
8,1979,,,0.013007374480366707,2303.47265625,0.017549928277730942,1.5981403589248657,0.007279206998646259
8,1979,0.007358415983617306,,,,,,
