window,mape,mae,rmse,mse,directional_accuracy,precision_up,recall_up,f1_up
7,1.0555546306983834,0.010523598022894732,0.014908665532990542,0.00022226830797458019,0.4873634256704558,0.48444444444444446,0.9458780543503083,0.6407301415422694
10,1.0499280487601792,0.010484973938962987,0.014865281294015325,0.00022097658795020193,0.49862046131773535,0.46266605588639487,0.23059360730593606,0.30778607344202347
15,1.0495974332664806,0.010485243457254797,0.014848600773835024,0.0002204809449407341,0.5149541993157488,0.49050279329608937,0.10027409776153495,0.1665086288640243
30,1.0506034596232394,0.010480097232478471,0.014865278980376484,0.00022097651916442294,0.49906191369606,0.4894324072843281,0.8406392694063927,0.6186675627992942
