epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.007319166325032711,,,,,
0,99,,0.008066771551966667,,,,,
0,149,,0.006621581502258778,,,,,
0,199,,0.009367447346448898,,,,,
0,219,,,0.012777185067534447,441.457763671875,0.017345277592539787,1.850763201713562,0.0072506871074438095
0,219,0.008074176497757435,,,,,,
1,249,,0.007353597320616245,,,,,
1,299,,0.0076728095300495625,,,,,
1,349,,0.008210753090679646,,,,,
1,399,,0.007903318852186203,,,,,
1,439,,,0.012791214510798454,643.6749877929688,0.01736830547451973,1.7994428873062134,0.00717194052413106
1,439,0.007709387689828873,,,,,,
2,449,,0.007009172812104225,,,,,
2,499,,0.007869094610214233,,,,,
2,549,,0.008361407555639744,,,,,
2,599,,0.009300376288592815,,,,,
2,649,,0.0077238683588802814,,,,,
2,659,,,0.012767736800014973,630.6826782226562,0.01731233485043049,1.7921726703643799,0.007151471450924873
2,659,0.007661077193915844,,,,,,
3,699,,0.0067939311265945435,,,,,
3,749,,0.007799858693033457,,,,,
3,799,,0.007608680985867977,,,,,
3,849,,0.007932234555482864,,,,,
3,879,,,0.012763306498527527,522.0214233398438,0.01733100228011608,1.8283640146255493,0.007149794138967991
3,879,0.0076295314356684685,,,,,,
4,899,,0.006919488310813904,,,,,
4,949,,0.0077800387516617775,,,,,
4,999,,0.008125684224069118,,,,,
4,1049,,0.007490091025829315,,,,,
4,1099,,0.007760038133710623,,,,,
4,1099,,,0.012773580849170685,805.60302734375,0.01733957789838314,1.7851060628890991,0.007149098441004753
4,1099,0.007609332911670208,,,,,,
5,1149,,0.00852152705192566,,,,,
5,1199,,0.007278960198163986,,,,,
5,1249,,0.007816532626748085,,,,,
5,1299,,0.0075330063700675964,,,,,
5,1319,,,0.012765969149768353,710.5491333007812,0.017359429970383644,1.7941076755523682,0.007153019309043884
5,1319,0.007575587835162878,,,,,,
6,1349,,0.007973060011863708,,,,,
6,1399,,0.007247038185596466,,,,,
6,1449,,0.008297678083181381,,,,,
6,1499,,0.008260773494839668,,,,,
6,1539,,,0.012798495590686798,1213.406494140625,0.01738181710243225,1.6670987606048584,0.0072076707147061825
6,1539,0.007536480203270912,,,,,,
7,1549,,0.007181236520409584,,,,,
7,1599,,0.0070641436614096165,,,,,
7,1649,,0.007250177673995495,,,,,
7,1699,,0.007216667290776968,,,,,
7,1749,,0.00735329557210207,,,,,
7,1759,,,0.012802000157535076,1229.005615234375,0.017463279888033867,1.7375677824020386,0.00717727467417717
7,1759,0.007489356212317944,,,,,,
8,1799,,0.007116839289665222,,,,,
8,1849,,0.007948387414216995,,,,,
8,1899,,0.0077459621243178844,,,,,
8,1949,,0.0074426596984267235,,,,,
8,1979,,,0.012854894623160362,2014.0401611328125,0.01750657521188259,1.6854043006896973,0.007195441983640194
8,1979,0.007429973222315311,,,,,,
9,1999,,0.0066055357456207275,,,,,
9,2049,,0.006334596313536167,,,,,
9,2099,,0.007201886735856533,,,,,
9,2149,,0.009126193821430206,,,,,
9,2199,,0.007560485042631626,,,,,
9,2199,,,0.012832200154662132,1183.3128662109375,0.01750156469643116,1.7178107500076294,0.007202733773738146
9,2199,0.007365392055362463,,,,,,
10,2249,,0.006917333696037531,,,,,
10,2299,,0.007846585474908352,,,,,
10,2349,,0.0060955192893743515,,,,,
10,2399,,0.005973484367132187,,,,,
10,2419,,,0.012864448130130768,1016.1702270507812,0.017558129504323006,1.6834707260131836,0.0072176274843513966
10,2419,0.007321940269321203,,,,,,
11,2449,,0.007552303373813629,,,,,
11,2499,,0.009263493120670319,,,,,
11,2549,,0.006218583323061466,,,,,
11,2599,,0.008460096083581448,,,,,
11,2639,,,0.012845507822930813,819.28125,0.017519110813736916,1.7043570280075073,0.007217170670628548
11,2639,0.0072698695585131645,,,,,,
