epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.006587439216673374,,,,,
0,99,,0.007501084357500076,,,,,
0,149,,0.008197478950023651,,,,,
0,199,,0.009657415561378002,,,,,
0,219,,,0.012804473750293255,975.6039428710938,0.01736234873533249,1.81708824634552,0.0072741080075502396
0,219,0.00796058215200901,,,,,,
1,249,,0.006920958869159222,,,,,
1,299,,0.008748471736907959,,,,,
1,349,,0.007017215248197317,,,,,
1,399,,0.007870784029364586,,,,,
1,439,,,0.012768116779625416,1157.671142578125,0.017302248626947403,1.7976511716842651,0.00721969548612833
1,439,0.007655383087694645,,,,,,
2,449,,0.00649638194590807,,,,,
2,499,,0.008806027472019196,,,,,
2,549,,0.007954197004437447,,,,,
2,599,,0.007154467515647411,,,,,
2,649,,0.007529387716203928,,,,,
2,659,,,0.012793665751814842,420.2065734863281,0.017356103286147118,1.8198845386505127,0.00721484562382102
2,659,0.007613631431013346,,,,,,
3,699,,0.00878085009753704,,,,,
3,749,,0.008671220391988754,,,,,
3,799,,0.008507413789629936,,,,,
3,849,,0.008002674207091331,,,,,
3,879,,,0.01279765646904707,1465.4959716796875,0.017323072999715805,1.7083619832992554,0.0071905446238815784
3,879,0.00759217469021678,,,,,,
4,899,,0.007412681356072426,,,,,
4,949,,0.008052302524447441,,,,,
4,999,,0.008620570413768291,,,,,
4,1049,,0.008098023943603039,,,,,
4,1099,,0.007178337313234806,,,,,
4,1099,,,0.012790406122803688,625.1539916992188,0.01733376458287239,1.7985318899154663,0.007199234329164028
4,1099,0.007580159697681665,,,,,,
5,1149,,0.00820877030491829,,,,,
5,1199,,0.007598451804369688,,,,,
5,1249,,0.007059044204652309,,,,,
5,1299,,0.007771431002765894,,,,,
5,1319,,,0.012800699099898338,539.9766845703125,0.01734793931245804,1.8091284036636353,0.007197531871497631
5,1319,0.007554628886282444,,,,,,
6,1349,,0.0068636564537882805,,,,,
6,1399,,0.007389662321656942,,,,,
6,1449,,0.007467776536941528,,,,,
6,1499,,0.00645127147436142,,,,,
6,1539,,,0.012888454832136631,890.0655517578125,0.01743905432522297,1.7322243452072144,0.007286020088940859
6,1539,0.0075212763622403145,,,,,,
7,1549,,0.008446901105344296,,,,,
7,1599,,0.008452128618955612,,,,,
7,1649,,0.006471850909292698,,,,,
7,1699,,0.007963880896568298,,,,,
7,1749,,0.007748936302959919,,,,,
7,1759,,,0.01348842028528452,3123.23974609375,0.018079744651913643,1.6340508460998535,0.007598251570016146
7,1759,0.007480350788682699,,,,,,
8,1799,,0.006814000196754932,,,,,
8,1849,,0.007599975448101759,,,,,
8,1899,,0.008837901055812836,,,,,
8,1949,,0.007103553507477045,,,,,
8,1979,,,0.012898909859359264,603.4070434570312,0.01751864142715931,1.7240604162216187,0.007269646506756544
8,1979,0.0074379718862473965,,,,,,
