number,value,state,params_attention_head_size,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size,params_hidden_continuous_size_v2,params_hidden_size,params_hidden_size_v2,params_learning_rate,user_attrs_Directional_Accuracy,user_attrs_F1_Up,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
19,0.007253010291606188,PRUNED,4.0,,0.14194444722590646,0.2267297943193522,24.0,,16.0,,0.0036551247379703945,,,,,,,,24.0,2026-04-10 02:11:24.817857,2026-04-10 02:12:40.327559
20,0.007174042984843254,COMPLETE,4.0,,0.17988670040814508,0.8014989175980146,16.0,,48.0,,0.0015728965685546622,0.4734609484024005,0.5866339199813796,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00020/checkpoints/best-epoch004-valloss0.007174.ckpt,,,,bf16-mixed,,2026-04-10 02:13:00.507873,2026-04-10 02:15:59.315885
21,0.007168674375861883,COMPLETE,4.0,,0.121571933442646,0.415714987824348,32.0,,64.0,,0.0004560668675200707,0.5169718396884673,0.34832633399080964,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00021/checkpoints/best-epoch002-valloss0.007169.ckpt,,,,bf16-mixed,,2026-04-10 02:15:59.471366,2026-04-10 02:18:37.569685
22,0.007212677970528603,PRUNED,4.0,,0.1256453340927409,0.28148279636995643,8.0,,64.0,,0.00035149000902862186,,,,,,,,,2026-04-10 02:18:37.727894,2026-04-10 02:20:06.543948
23,0.007227928377687931,PRUNED,4.0,,0.18687659098276815,0.3614731908725695,24.0,,16.0,,0.0002104466608057344,,,,,,,,24.0,2026-04-10 02:20:26.730903,2026-04-10 02:21:42.338225
24,0.007149198558181524,COMPLETE,4.0,,0.13686867907478198,0.19382250562735237,24.0,,16.0,,0.0007341116266368279,0.48481730308428206,0.5879639581049012,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00024/checkpoints/best-epoch004-valloss0.007149.ckpt,,,,bf16-mixed,24.0,2026-04-10 02:22:02.514279,2026-04-10 02:24:15.909965
25,0.007210149429738522,PRUNED,4.0,,0.23606795245561363,0.18334255846829434,24.0,,16.0,,0.0008547409987932427,,,,,,,,24.0,2026-04-10 02:24:16.065101,2026-04-10 02:25:31.719954
26,0.007197505794465542,PRUNED,1.0,,0.16792901724994405,0.21238428201809795,24.0,,16.0,,0.0005892960869740255,,,,,,,,24.0,2026-04-10 02:25:51.903362,2026-04-10 02:27:04.309989
27,0.007274350617080927,PRUNED,8.0,,0.1366048106342487,0.2766819872502636,24.0,,16.0,,0.001104078057666158,,,,,,,,24.0,2026-04-10 02:27:24.487009,2026-04-10 02:28:43.269351
28,0.007244434207677841,PRUNED,2.0,,0.20766678087797785,0.17136043911743112,24.0,,16.0,,0.0020776842557605995,,,,,,,,24.0,2026-04-10 02:29:03.447023,2026-04-10 02:30:16.656963
29,0.00717848539352417,COMPLETE,2.0,,0.2921590400096891,0.11382344841140649,24.0,,32.0,,0.0002989593142783266,0.5052531956513221,0.42593436236384213,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00029/checkpoints/best-epoch003-valloss0.007178.ckpt,,,,bf16-mixed,,2026-04-10 02:30:36.837107,2026-04-10 02:33:09.648447
30,0.007155331317335367,COMPLETE,4.0,,0.2509273364604893,0.4370678824130976,16.0,,16.0,,0.0007500281558758369,0.4874479698835671,0.5963364960956226,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00030/checkpoints/best-epoch004-valloss0.007155.ckpt,,,,bf16-mixed,,2026-04-10 02:33:09.806759,2026-04-10 02:35:27.018480
31,0.007171856705099344,COMPLETE,4.0,,0.10786764082866783,0.2927851727297881,8.0,,64.0,,0.00046855848574916436,0.5084607524888556,0.20877328014283802,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00031/checkpoints/best-epoch002-valloss0.007172.ckpt,,,,bf16-mixed,,2026-04-10 02:35:27.176048,2026-04-10 02:38:26.203699
32,0.0071949767880141735,PRUNED,4.0,,0.13019897583984938,0.3347369530285537,8.0,,48.0,,0.00023170907830979013,,,,,,,,,2026-04-10 02:38:26.365892,2026-04-10 02:39:55.830430
33,0.007170733995735645,COMPLETE,4.0,,0.15240199828469594,0.4791531320233503,8.0,,64.0,,0.0014567900961439636,0.489011661377001,0.576494690244514,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00033/checkpoints/best-epoch002-valloss0.007171.ckpt,,,,bf16-mixed,,2026-04-10 02:40:16.017122,2026-04-10 02:42:55.375338
34,0.007159882225096226,COMPLETE,4.0,,0.31929995692820473,0.37523010105886856,32.0,,32.0,,0.0004969353996133368,0.49091111854577896,0.3597706877742257,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00034/checkpoints/best-epoch005-valloss0.007160.ckpt,,,,bf16-mixed,,2026-04-10 02:42:55.536326,2026-04-10 02:45:12.307035
35,0.007218488492071629,PRUNED,4.0,,0.10342073072641181,0.1579660055864523,8.0,,16.0,,0.00014439075922601348,,,,,,,,,2026-04-10 02:45:12.465695,2026-04-10 02:46:41.594884
36,0.007115720771253109,COMPLETE,4.0,,0.11870441341665455,0.2614614038264875,24.0,,48.0,,0.0009084000600058438,0.48039508226861866,0.6303752261897043,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00036/checkpoints/best-epoch004-valloss0.007116.ckpt,,,,bf16-mixed,,2026-04-10 02:47:01.780781,2026-04-10 02:50:48.223363
37,0.007149207405745983,COMPLETE,2.0,,0.16899878562946538,0.25976266522502295,24.0,,48.0,,0.0009040519608501916,0.5136286503968003,0.4717071904216887,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00037/checkpoints/best-epoch004-valloss0.007149.ckpt,,,,bf16-mixed,,2026-04-10 02:50:48.385183,2026-04-10 02:53:26.051116
38,0.007257409859448671,PRUNED,1.0,,0.39222518807911866,0.5917686941331755,24.0,,48.0,,0.0020115914758636645,,,,,,,,,2026-04-10 02:53:26.211225,2026-04-10 02:54:52.782198
39,0.007232722360640764,PRUNED,4.0,,0.19094313095455856,0.19335495389088664,24.0,,48.0,,0.0006560783345735663,,,,,,,,,2026-04-10 02:55:12.970785,2026-04-10 02:56:43.026620
40,0.007209462579339743,PRUNED,4.0,,0.1391161772967163,0.31861735031644467,24.0,,32.0,,0.0013303576343133398,,,,,,,,,2026-04-10 02:57:03.208659,2026-04-10 02:58:55.883709
41,0.007142934948205948,COMPLETE,2.0,,0.1663104244248485,0.26058360188666335,24.0,,48.0,,0.0009662798930470411,0.5010419586531999,0.47303329756295137,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00041/checkpoints/best-epoch006-valloss0.007143.ckpt,,,,bf16-mixed,,2026-04-10 02:59:16.068946,2026-04-10 03:01:53.826470
42,0.0072553944773972034,PRUNED,2.0,,0.16872861075341578,0.1512401304789861,24.0,,48.0,,0.0010130061145163386,,,,,,,,,2026-04-10 03:01:53.989831,2026-04-10 03:03:22.396306
43,0.00720316544175148,PRUNED,2.0,,0.11974192472315207,0.2416938060671192,24.0,,48.0,,0.0005363089380944091,,,,,,,,,2026-04-10 03:03:42.594485,2026-04-10 03:05:32.916891
44,0.007155389524996281,COMPLETE,2.0,,0.199166489797431,0.3794256162698535,24.0,,48.0,,0.002783486681688601,0.4862417452581387,0.5582442317082095,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00044/checkpoints/best-epoch002-valloss0.007155.ckpt,,,,bf16-mixed,,2026-04-10 03:05:53.100571,2026-04-10 03:08:29.494325
45,0.00723772868514061,PRUNED,2.0,,0.15081122350386802,0.31804639785386807,24.0,,48.0,,0.00036917916928552497,,,,,,,,,2026-04-10 03:08:29.656758,2026-04-10 03:09:57.534338
46,,FAIL,8.0,,0.12904693281134993,0.8561531202287448,16.0,,16.0,,0.0007249855168406377,,,,,,,,,2026-04-10 03:10:17.725426,2026-04-10 03:11:56.909084
47,0.007165749557316303,COMPLETE,8.0,,0.26968392720442097,0.873963187593433,16.0,,16.0,,0.0006905026857294433,0.504787825630917,0.32905718159704206,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00047/checkpoints/best-epoch003-valloss0.007166.ckpt,,,,bf16-mixed,,2026-04-10 08:38:28.790527,2026-04-10 08:41:24.178166
48,,RUNNING,4.0,,0.13212474874041946,0.19381183448629516,24.0,,48.0,,0.0017125820597332947,,,,,,,,,2026-04-10 08:41:24.384335,
