number,value,state,params_attention_head_size,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size,params_hidden_continuous_size_v2,params_hidden_size,params_hidden_size_v2,params_learning_rate,user_attrs_Directional_Accuracy,user_attrs_F1_Up,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
88,0.007137896027415991,COMPLETE,8.0,,0.112480816170802,0.41035763664539726,24.0,,32.0,,0.0011029608027309345,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00088/checkpoints/best-epoch003-valloss0.007138.ckpt,,,,bf16-mixed,,2026-04-10 10:06:38.279603,2026-04-10 10:08:30.071280
89,0.007143704686313868,COMPLETE,8.0,,0.11590154335263882,0.24017632417453266,24.0,,32.0,,0.0011301288618059983,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00089/checkpoints/best-epoch002-valloss0.007144.ckpt,,,,bf16-mixed,,2026-04-10 10:08:30.250637,2026-04-10 10:10:22.628317
90,0.0072169010527431965,PRUNED,8.0,,0.14290860553649617,0.9927608188269238,24.0,,32.0,,0.0009717019993795748,,,,,,,,,2026-04-10 10:10:22.794278,2026-04-10 10:12:13.963098
91,0.007152976468205452,COMPLETE,8.0,,0.11186274881059247,0.23637611049709914,24.0,,32.0,,0.0010789356547051614,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00091/checkpoints/best-epoch003-valloss0.007153.ckpt,,,,bf16-mixed,,2026-04-10 10:12:54.232077,2026-04-10 10:14:46.396476
92,0.007191014941781759,PRUNED,8.0,,0.11684318938466676,0.4982641725237969,24.0,,32.0,,0.0012158732000491837,,,,,,,,,2026-04-10 10:14:46.573550,2026-04-10 10:16:37.845767
93,0.007175935432314873,PRUNED,8.0,,0.12341925754374568,0.578701505191395,24.0,,32.0,,0.0014823874212587561,,,,,,,,,2026-04-10 10:17:18.142211,2026-04-10 10:19:10.451927
94,0.00717003783211112,COMPLETE,8.0,,0.16328646564042773,0.21957774600376437,24.0,,32.0,,0.0008997542108984502,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00094/checkpoints/best-epoch003-valloss0.007170.ckpt,,,,bf16-mixed,,2026-04-10 10:19:50.716685,2026-04-10 10:21:43.124013
95,0.007267094682902098,PRUNED,8.0,,0.13171934894611367,0.6470702228557592,24.0,,32.0,,0.0006910293533214338,,,,,,,,,2026-04-10 10:21:43.292987,2026-04-10 10:23:34.409377
96,0.007141921669244766,COMPLETE,8.0,,0.1509898318360416,0.45963595438370947,24.0,,32.0,,0.001326286634436762,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00096/checkpoints/best-epoch002-valloss0.007142.ckpt,,,,bf16-mixed,,2026-04-10 10:24:14.680296,2026-04-10 10:26:06.370635
97,0.0071481019258499146,COMPLETE,8.0,,0.13931996763881282,0.4833033428534092,24.0,,32.0,,0.00172327822631732,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00097/checkpoints/best-epoch003-valloss0.007148.ckpt,,,,bf16-mixed,,2026-04-10 10:26:06.543975,2026-04-10 10:27:59.298882
98,0.007215163670480251,PRUNED,8.0,,0.14276472957442354,0.4592239094787181,24.0,,32.0,,0.0017053152135879743,,,,,,,,,2026-04-10 10:27:59.471364,2026-04-10 10:29:52.199692
99,0.007183711044490337,PRUNED,8.0,,0.10986037498732434,0.5261486549383807,24.0,,32.0,,0.001349989074930281,,,,,,,,,2026-04-10 10:30:32.458691,2026-04-10 10:32:24.401459
100,0.007165797520428896,COMPLETE,8.0,,0.149873598419815,0.44146139108867544,24.0,,32.0,,0.0011647513359790917,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00100/checkpoints/best-epoch003-valloss0.007166.ckpt,,,,bf16-mixed,,2026-04-10 10:33:04.690372,2026-04-10 10:34:58.896639
101,0.007160921581089497,COMPLETE,8.0,,0.13700518260161507,0.5127476453186253,24.0,,32.0,,0.0019012709457747834,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00101/checkpoints/best-epoch002-valloss0.007161.ckpt,,,,bf16-mixed,,2026-04-10 10:34:59.062589,2026-04-10 10:36:55.254237
102,,RUNNING,8.0,,0.11987984854652933,0.49106655661912224,24.0,,32.0,,0.0007776542413566985,,,,,,,,,2026-04-10 10:36:55.432885,
103,,RUNNING,8.0,,0.11879273604936502,0.4723600852372644,24.0,,32.0,,0.0015171928288048016,,,,,,,,,2026-04-10 10:38:34.597752,
104,,RUNNING,,1.0,0.11879273604936502,0.4723600852372644,,24.0,,16.0,0.0015171928288048016,,,,1.0,16.0,16.0,,24.0,2026-04-10 11:00:05.530036,
105,,RUNNING,,1.0,0.11879273604936502,0.4723600852372644,,24.0,,16.0,0.0015171928288048016,,,,1.0,16.0,16.0,,24.0,2026-04-10 11:01:31.863530,
106,0.007153355982154608,COMPLETE,,1.0,0.11879273604936502,0.4723600852372644,,24.0,,16.0,0.0015171928288048016,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00106/checkpoints/best-epoch003-valloss0.007153.ckpt,1.0,16.0,16.0,16-mixed,24.0,2026-04-10 11:03:11.358991,2026-04-10 11:05:00.862181
107,0.007159615401178598,COMPLETE,,2.0,0.1270122355173822,0.4204821010014943,,8.0,,32.0,0.002185783571333694,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00107/checkpoints/best-epoch000-valloss0.007160.ckpt,2.0,8.0,32.0,16-mixed,,2026-04-10 11:05:01.030521,2026-04-10 11:07:06.349810
108,0.0071240500546991825,COMPLETE,,4.0,0.26105075659350496,0.3942508416475614,,16.0,,48.0,0.0007951194467054815,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00108/checkpoints/best-epoch002-valloss0.007124.ckpt,4.0,16.0,48.0,16-mixed,,2026-04-10 11:07:06.520464,2026-04-10 11:09:17.425173
109,,RUNNING,,4.0,0.24061156566635267,0.5375558646571968,,16.0,,48.0,0.0007943737871369081,,,,4.0,16.0,48.0,,,2026-04-10 11:09:17.610193,
