epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.0075955623760819435,,,,,
0,99,,0.005607449449598789,,,,,
0,149,,0.007903441786766052,,,,,
0,199,,0.007788910064846277,,,,,
0,249,,0.008260618895292282,,,,,
0,299,,0.007173418998718262,,,,,
0,349,,0.006242071278393269,,,,,
0,399,,0.007593504153192043,,,,,
0,431,,,0.012755727395415306,652.392333984375,0.01714402623474598,1.8205009698867798,0.007210053037852049
0,431,0.00786072388291359,,,,,,
1,449,,0.00810672715306282,,,,,
1,499,,0.005961810704320669,,,,,
1,549,,0.006664453074336052,,,,,
1,599,,0.006468641106039286,,,,,
1,649,,0.0072850328870117664,,,,,
1,699,,0.007090475410223007,,,,,
1,749,,0.008210069499909878,,,,,
1,799,,0.008305314928293228,,,,,
1,849,,0.007897883653640747,,,,,
1,863,,,0.012784346006810665,1294.0107421875,0.017145974561572075,1.6915090084075928,0.007213492412120104
1,863,0.0075305490754544735,,,,,,
2,899,,0.008734808303415775,,,,,
2,949,,0.007033970672637224,,,,,
2,999,,0.007747595198452473,,,,,
2,1049,,0.0072035519406199455,,,,,
2,1099,,0.006365321110934019,,,,,
2,1149,,0.008327214047312737,,,,,
2,1199,,0.007638036273419857,,,,,
2,1249,,0.01060284860432148,,,,,
2,1295,,,0.012871661223471165,2260.384033203125,0.017207667231559753,1.5721839666366577,0.007231834810227156
2,1295,0.007491206284612417,,,,,,
3,1299,,0.007677928544580936,,,,,
3,1349,,0.00782930850982666,,,,,
3,1399,,0.006593792699277401,,,,,
3,1449,,0.0064503783360123634,,,,,
3,1499,,0.007252657786011696,,,,,
3,1549,,0.006659535691142082,,,,,
3,1599,,0.006536707282066345,,,,,
3,1649,,0.007666953839361668,,,,,
3,1699,,0.00836174190044403,,,,,
3,1727,,,0.012764964252710342,922.4847412109375,0.017141608521342278,1.774116039276123,0.0071965837851166725
3,1727,0.007458736188709736,,,,,,
4,1749,,0.0072931041941046715,,,,,
4,1799,,0.00723622739315033,,,,,
4,1849,,0.007140242028981447,,,,,
4,1899,,0.007476047612726688,,,,,
4,1949,,0.009457383304834366,,,,,
4,1999,,0.008225953206419945,,,,,
4,2049,,0.007122104987502098,,,,,
4,2099,,0.006716141477227211,,,,,
4,2149,,0.0072855702601373196,,,,,
4,2159,,,0.012760298326611519,394.2395324707031,0.01716572791337967,1.8637598752975464,0.00719025731086731
4,2159,0.007439201232045889,,,,,,
5,2199,,0.00889856368303299,,,,,
5,2249,,0.008285179734230042,,,,,
5,2299,,0.007202281150966883,,,,,
5,2349,,0.007538147270679474,,,,,
5,2399,,0.005186513997614384,,,,,
5,2449,,0.01032162457704544,,,,,
5,2499,,0.007540034595876932,,,,,
5,2549,,0.008547327481210232,,,,,
5,2591,,,0.012761537916958332,489.6695556640625,0.017172208055853844,1.8338779211044312,0.00715439161285758
5,2591,0.007419168017804623,,,,,,
6,2599,,0.00689155887812376,,,,,
6,2649,,0.009269433096051216,,,,,
6,2699,,0.00594373419880867,,,,,
6,2749,,0.006425758823752403,,,,,
6,2799,,0.0075452206656336784,,,,,
6,2849,,0.007379087619483471,,,,,
6,2899,,0.006497223861515522,,,,,
6,2949,,0.006609534844756126,,,,,
6,2999,,0.007460731081664562,,,,,
6,3023,,,0.012742173857986927,599.4818725585938,0.017132123932242393,1.8188488483428955,0.007135028950870037
6,3023,0.007407508324831724,,,,,,
7,3049,,0.008181903511285782,,,,,
7,3099,,0.006798430345952511,,,,,
7,3149,,0.007686483673751354,,,,,
7,3199,,0.006237438414245844,,,,,
7,3249,,0.006536162458360195,,,,,
7,3299,,0.007545405998826027,,,,,
7,3349,,0.006630584131926298,,,,,
7,3399,,0.008814255706965923,,,,,
7,3449,,0.007028203457593918,,,,,
7,3455,,,0.012757150456309319,921.9727783203125,0.017146557569503784,1.7417550086975098,0.007157806772738695
7,3455,0.007381293457001448,,,,,,
8,3499,,0.0086882458999753,,,,,
8,3549,,0.007214144803583622,,,,,
8,3599,,0.005655299406498671,,,,,
8,3649,,0.006729469168931246,,,,,
8,3699,,0.005699638742953539,,,,,
8,3749,,0.00851522758603096,,,,,
8,3799,,0.00801125168800354,,,,,
8,3849,,0.007542334496974945,,,,,
8,3887,,,0.012756657786667347,897.6535034179688,0.017155561596155167,1.7260371446609497,0.007165854796767235
8,3887,0.007363521493971348,,,,,,
